ts,src_ip,src_port,dst_ip,dst_port,proto,duration,src_bytes,dst_bytes,type,label
1600000687,192.168.1.82,40325,10.0.0.1,8883,tcp,0.2087,3008,2763,normal,0
1600000786,192.168.1.84,60650,10.0.0.8,502,tcp,0.4835,2018,581,normal,0
1600000312,192.168.1.20,58811,10.0.0.8,80,tcp,1.2851,1043,721,normal,0
1600000341,192.168.1.175,34480,10.0.0.6,8883,tcp,0.9519,80671,45064,ddos,1
1600000008,192.168.1.116,4428,10.0.0.6,502,tcp,0.9216,112346,80486,ddos,1
1600000611,192.168.1.72,56064,10.0.0.6,80,tcp,0.0176,2670,704,normal,0
1600000638,192.168.1.79,52316,10.0.0.7,80,tcp,1.5085,21925,14859,ddos,1
1600000199,192.168.1.119,55113,10.0.0.4,502,tcp,1.3287,48667,43285,ddos,1
1600000297,192.168.1.50,34263,10.0.0.4,8883,tcp,0.9283,2805,2530,normal,0
1600000232,192.168.1.70,2010,10.0.0.1,502,tcp,0.0688,859,466,normal,0
1600000944,192.168.1.120,20348,10.0.0.9,502,tcp,0.054,1398,895,normal,0
1600000415,192.168.1.29,62666,10.0.0.9,502,tcp,1.1602,2400,2115,normal,0
1600000445,192.168.1.73,46539,10.0.0.9,8883,tcp,0.1558,1589,719,normal,0
1600000157,192.168.1.58,38878,10.0.0.2,8883,tcp,1.1011,66038,46947,ddos,1
1600000375,192.168.1.95,3303,10.0.0.7,8883,tcp,0.0118,1542,267,normal,0
1600000398,192.168.1.177,53133,10.0.0.9,8883,tcp,1.1345,32924,10802,ddos,1
1600000457,192.168.1.167,17686,10.0.0.2,80,tcp,0.9026,2425,1536,normal,0
1600000754,192.168.1.96,61914,10.0.0.1,502,tcp,0.1254,68818,27761,backdoor,1
1600000334,192.168.1.119,15593,10.0.0.1,502,tcp,1.4068,469,216,normal,0
1600000646,192.168.1.146,64137,10.0.0.3,80,tcp,0.6984,844,693,normal,0
1600000851,192.168.1.86,19885,10.0.0.3,8883,tcp,1.0689,2719,1454,normal,0
1600000386,192.168.1.180,5037,10.0.0.7,80,tcp,0.0461,17903,30363,password,1
1600000166,192.168.1.23,11279,10.0.0.4,1883,tcp,0.8292,41437,25332,ddos,1
1600000309,192.168.1.121,57186,10.0.0.6,8883,tcp,0.3668,1675,3730,normal,0
1600000986,192.168.1.23,59557,10.0.0.6,80,tcp,0.8959,85631,46990,scanning,1
1600000708,192.168.1.48,33266,10.0.0.3,1883,tcp,0.0744,573,472,normal,0
1600000447,192.168.1.157,32939,10.0.0.4,502,tcp,0.0063,1123,2071,normal,0
1600000548,192.168.1.68,48314,10.0.0.9,8883,tcp,0.1276,4635,1681,normal,0
1600000810,192.168.1.122,19023,10.0.0.2,80,tcp,0.3229,5254,3307,normal,0
1600000883,192.168.1.186,49400,10.0.0.2,1883,tcp,0.0239,538,292,normal,0
1600000593,192.168.1.117,53776,10.0.0.2,80,tcp,0.1403,4063,1244,normal,0
1600000048,192.168.1.69,8393,10.0.0.8,8883,tcp,0.0199,30142,17569,password,1
1600000623,192.168.1.117,47512,10.0.0.2,1883,tcp,0.5715,3931,2500,normal,0
1600000108,192.168.1.20,61226,10.0.0.6,502,tcp,2.486,2386,1778,normal,0
1600000914,192.168.1.186,52552,10.0.0.7,80,tcp,0.0125,3280,1296,normal,0
1600000592,192.168.1.149,26649,10.0.0.8,80,tcp,0.3859,14106,9617,password,1
1600000873,192.168.1.124,61392,10.0.0.4,502,tcp,0.5919,1012,537,normal,0
1600000451,192.168.1.135,22597,10.0.0.2,8883,tcp,0.4934,752,351,normal,0
1600000995,192.168.1.13,6136,10.0.0.8,502,tcp,2.0423,509,422,normal,0
1600000109,192.168.1.173,39953,10.0.0.6,80,tcp,0.9581,156,245,normal,0
1600000726,192.168.1.31,9470,10.0.0.3,1883,tcp,0.4846,353,309,normal,0
1600000099,192.168.1.97,24443,10.0.0.5,1883,tcp,1.4452,872,1236,normal,0
1600000234,192.168.1.86,20984,10.0.0.3,8883,tcp,0.5203,1846,374,normal,0
1600000421,192.168.1.45,37664,10.0.0.1,502,tcp,0.5606,725,390,normal,0
1600000090,192.168.1.130,45643,10.0.0.7,8883,tcp,0.107,921,339,normal,0
1600000320,192.168.1.115,41266,10.0.0.3,8883,tcp,1.9005,927,1194,normal,0
1600000595,192.168.1.110,8035,10.0.0.7,1883,tcp,0.4701,2629,1876,normal,0
1600000522,192.168.1.46,32403,10.0.0.5,1883,tcp,0.0176,5013,1888,normal,0
1600000846,192.168.1.179,17880,10.0.0.4,8883,tcp,1.2797,17148,17536,scanning,1
1600000187,192.168.1.98,18337,10.0.0.3,502,tcp,0.1207,324,867,normal,0
1600000601,192.168.1.171,20765,10.0.0.9,80,tcp,0.2388,514,300,normal,0
1600000270,192.168.1.29,54699,10.0.0.4,1883,tcp,0.1299,20876,4491,password,1
1600000680,192.168.1.122,45849,10.0.0.1,502,tcp,0.2711,1368,1017,normal,0
1600000915,192.168.1.190,58521,10.0.0.6,1883,tcp,0.2046,28766,20032,scanning,1
1600000642,192.168.1.137,27404,10.0.0.5,502,tcp,0.0531,1717,1414,normal,0
1600000985,192.168.1.148,56098,10.0.0.4,502,tcp,0.1685,544,86,normal,0
1600000977,192.168.1.160,55751,10.0.0.4,502,tcp,1.6612,33368,15609,scanning,1
1600000032,192.168.1.149,12946,10.0.0.1,8883,tcp,1.0155,54693,14239,password,1
1600000115,192.168.1.40,37520,10.0.0.4,8883,tcp,0.9215,5246,1788,normal,0
1600000904,192.168.1.65,14160,10.0.0.2,502,tcp,0.3665,26080,12156,backdoor,1
1600000809,192.168.1.115,3249,10.0.0.2,1883,tcp,0.329,4487,1964,normal,0
1600000746,192.168.1.182,48667,10.0.0.2,502,tcp,0.813,3017,1244,normal,0
1600000658,192.168.1.124,51201,10.0.0.4,8883,tcp,1.1621,49468,36254,scanning,1
1600000545,192.168.1.193,49161,10.0.0.8,502,tcp,1.6088,44049,17726,ddos,1
1600000786,192.168.1.173,44545,10.0.0.6,1883,tcp,0.0829,1966,2218,normal,0
1600000306,192.168.1.155,16787,10.0.0.5,502,tcp,0.5382,799,1224,normal,0
1600000618,192.168.1.189,23362,10.0.0.8,8883,tcp,1.7433,65653,28915,ddos,1
1600000634,192.168.1.35,59287,10.0.0.8,502,tcp,0.2603,1329,2286,normal,0
1600000045,192.168.1.124,13738,10.0.0.8,1883,tcp,0.8266,14181,64673,ddos,1
1600000480,192.168.1.132,47658,10.0.0.2,502,tcp,0.5937,157,167,normal,0
1600000070,192.168.1.81,25515,10.0.0.1,1883,tcp,1.4413,1449,910,normal,0
1600000104,192.168.1.134,38773,10.0.0.4,80,tcp,0.334,1552,1227,normal,0
1600000473,192.168.1.150,2689,10.0.0.5,8883,tcp,1.4529,38805,15174,backdoor,1
1600000952,192.168.1.151,36662,10.0.0.1,502,tcp,0.2525,1127,385,normal,0
1600000973,192.168.1.127,62483,10.0.0.3,8883,tcp,0.6295,56233,23169,backdoor,1
1600000460,192.168.1.12,23607,10.0.0.2,502,tcp,2.1978,2268,961,normal,0
1600000275,192.168.1.92,21937,10.0.0.9,80,tcp,0.5588,592,1109,normal,0
1600000307,192.168.1.140,9582,10.0.0.4,502,tcp,0.1316,4964,3601,normal,0
1600000591,192.168.1.163,14481,10.0.0.6,1883,tcp,0.0188,3676,1825,normal,0
1600000591,192.168.1.180,4144,10.0.0.9,1883,tcp,0.274,984,588,normal,0
1600000830,192.168.1.104,34386,10.0.0.6,80,tcp,0.6529,5374,2210,normal,0
1600000048,192.168.1.168,22904,10.0.0.9,80,tcp,0.1943,252,337,normal,0
1600000533,192.168.1.72,20451,10.0.0.2,502,tcp,0.2229,408,317,normal,0
1600000257,192.168.1.133,28081,10.0.0.6,1883,tcp,0.2283,574,101,normal,0
1600000773,192.168.1.17,53831,10.0.0.8,502,tcp,0.1004,1176,984,normal,0
1600000808,192.168.1.46,5103,10.0.0.5,80,tcp,0.8956,410,273,normal,0
1600000958,192.168.1.32,3710,10.0.0.1,80,tcp,0.1466,3889,1288,normal,0
1600000446,192.168.1.122,60942,10.0.0.9,1883,tcp,0.1934,615,601,normal,0
1600000101,192.168.1.17,16395,10.0.0.2,1883,tcp,0.2166,3834,2587,normal,0
1600000825,192.168.1.163,57302,10.0.0.4,1883,tcp,0.1023,2759,476,normal,0
1600000407,192.168.1.22,27546,10.0.0.5,80,tcp,0.1419,1425,608,normal,0
1600000988,192.168.1.194,19191,10.0.0.4,1883,tcp,0.1231,1745,1792,normal,0
1600000060,192.168.1.33,20604,10.0.0.4,80,tcp,0.098,13728,26247,ddos,1
1600000242,192.168.1.115,49151,10.0.0.2,8883,tcp,0.3374,3365,2823,normal,0
1600000180,192.168.1.80,48929,10.0.0.4,8883,tcp,0.2202,2875,2998,normal,0
1600000254,192.168.1.98,34742,10.0.0.3,80,tcp,1.901,39950,34094,password,1
1600000161,192.168.1.70,5106,10.0.0.3,502,tcp,1.3822,9265,20895,ddos,1
1600000786,192.168.1.19,57975,10.0.0.1,8883,tcp,0.1884,1249,1088,normal,0
1600000318,192.168.1.12,33586,10.0.0.3,8883,tcp,0.1366,64992,13343,scanning,1
1600000767,192.168.1.103,47494,10.0.0.5,8883,tcp,0.8312,4819,2695,normal,0
1600000808,192.168.1.95,9042,10.0.0.7,502,tcp,0.5019,3879,2755,normal,0
1600000413,192.168.1.135,7787,10.0.0.1,502,tcp,1.6488,116546,20980,password,1
1600000586,192.168.1.104,6063,10.0.0.3,1883,tcp,0.6245,3207,1081,normal,0
1600000617,192.168.1.133,56899,10.0.0.3,1883,tcp,0.05,550,59,normal,0
1600000916,192.168.1.164,30231,10.0.0.3,1883,tcp,0.5326,49859,35379,scanning,1
1600000838,192.168.1.35,59188,10.0.0.3,8883,tcp,0.7556,34450,21875,ddos,1
1600000708,192.168.1.104,14044,10.0.0.4,80,tcp,0.0534,3532,2661,normal,0
1600000444,192.168.1.106,32342,10.0.0.8,8883,tcp,0.9098,549,517,normal,0
1600000548,192.168.1.155,49076,10.0.0.4,80,tcp,0.2585,2638,893,normal,0
1600000593,192.168.1.84,25675,10.0.0.9,80,tcp,0.6552,1513,575,normal,0
1600000947,192.168.1.26,32081,10.0.0.7,502,tcp,0.3666,917,622,normal,0
1600000531,192.168.1.150,21033,10.0.0.9,80,tcp,0.385,68158,9431,ddos,1
1600000957,192.168.1.152,23017,10.0.0.7,80,tcp,0.0608,768,934,normal,0
1600000880,192.168.1.144,17313,10.0.0.4,8883,tcp,1.0176,417,468,normal,0
1600000242,192.168.1.98,14924,10.0.0.6,1883,tcp,0.0602,19863,14103,backdoor,1
1600000873,192.168.1.65,51004,10.0.0.5,80,tcp,0.242,1447,1760,normal,0
1600000442,192.168.1.26,17348,10.0.0.9,8883,tcp,0.2407,1009,1562,normal,0
1600000267,192.168.1.97,56964,10.0.0.3,1883,tcp,1.7172,105712,35612,password,1
1600000028,192.168.1.112,41338,10.0.0.6,80,tcp,0.7118,1385,880,normal,0
1600000197,192.168.1.35,45168,10.0.0.7,8883,tcp,1.5346,757,393,normal,0
1600000128,192.168.1.119,64328,10.0.0.2,1883,tcp,0.0791,1517,732,normal,0
1600000523,192.168.1.157,28710,10.0.0.1,1883,tcp,1.0442,4519,2524,normal,0
1600000837,192.168.1.77,53203,10.0.0.4,8883,tcp,1.1077,33107,26822,backdoor,1
1600000312,192.168.1.81,13395,10.0.0.9,80,tcp,1.0363,47055,36965,password,1
1600000981,192.168.1.55,36344,10.0.0.5,80,tcp,0.2286,737,2634,normal,0
1600000749,192.168.1.127,15993,10.0.0.4,1883,tcp,0.694,414,384,normal,0
1600000765,192.168.1.98,15446,10.0.0.5,1883,tcp,0.001,3283,3458,normal,0
1600000023,192.168.1.37,25183,10.0.0.2,80,tcp,0.0307,1591,3139,normal,0
1600000532,192.168.1.151,52514,10.0.0.3,8883,tcp,0.4858,686,141,normal,0
1600000330,192.168.1.187,10377,10.0.0.5,1883,tcp,0.6,551,1003,normal,0
1600000084,192.168.1.130,25025,10.0.0.3,8883,tcp,0.0323,1891,1681,normal,0
1600000504,192.168.1.104,49270,10.0.0.1,1883,tcp,1.3371,84906,29279,scanning,1
1600000185,192.168.1.145,34561,10.0.0.9,502,tcp,0.4164,1311,436,normal,0
1600000324,192.168.1.176,55013,10.0.0.6,8883,tcp,0.2138,4958,2350,normal,0
1600000145,192.168.1.140,32171,10.0.0.8,8883,tcp,1.0755,3352,1183,normal,0
1600000901,192.168.1.171,57267,10.0.0.8,1883,tcp,0.5886,52741,37642,password,1
1600000611,192.168.1.166,29550,10.0.0.1,502,tcp,0.0364,4359,590,normal,0
1600000181,192.168.1.74,23515,10.0.0.8,8883,tcp,0.2866,4211,719,normal,0
1600000082,192.168.1.55,12289,10.0.0.6,8883,tcp,0.0199,1175,337,normal,0
1600000189,192.168.1.102,6243,10.0.0.3,502,tcp,0.7156,1816,1962,normal,0
1600000049,192.168.1.127,20578,10.0.0.1,502,tcp,1.4679,515,470,normal,0
1600000058,192.168.1.171,38353,10.0.0.5,80,tcp,0.9347,845,1165,normal,0
1600000684,192.168.1.128,26644,10.0.0.3,80,tcp,0.0678,4439,1396,normal,0
1600000234,192.168.1.173,17660,10.0.0.8,80,tcp,0.0052,396,164,normal,0
1600000637,192.168.1.33,61212,10.0.0.4,502,tcp,0.4406,590,962,normal,0
1600000649,192.168.1.169,11782,10.0.0.5,502,tcp,0.0409,47820,52778,backdoor,1
1600000758,192.168.1.57,56806,10.0.0.7,502,tcp,0.9332,3119,852,normal,0
1600000355,192.168.1.57,4061,10.0.0.5,502,tcp,1.2768,1245,1751,normal,0
1600000839,192.168.1.54,61465,10.0.0.6,1883,tcp,0.2409,3697,3012,normal,0
1600000578,192.168.1.38,62155,10.0.0.5,1883,tcp,0.7118,43751,19347,scanning,1
1600000919,192.168.1.137,8367,10.0.0.5,80,tcp,0.4151,2451,1069,normal,0
1600000326,192.168.1.176,47667,10.0.0.2,8883,tcp,0.4657,695,358,normal,0
1600000101,192.168.1.108,27465,10.0.0.5,1883,tcp,0.2068,1548,867,normal,0
1600000669,192.168.1.80,19133,10.0.0.7,502,tcp,2.7119,1320,855,normal,0
1600000442,192.168.1.199,30403,10.0.0.1,502,tcp,1.808,19302,24605,ddos,1
1600000934,192.168.1.193,59495,10.0.0.5,502,tcp,0.6297,4116,3313,scanning,1
1600000947,192.168.1.77,8310,10.0.0.9,1883,tcp,0.2408,297,882,normal,0
1600000483,192.168.1.134,24422,10.0.0.8,8883,tcp,0.3242,45955,12439,backdoor,1
1600000816,192.168.1.59,53485,10.0.0.5,8883,tcp,0.6589,4598,2872,normal,0
1600000842,192.168.1.37,30284,10.0.0.5,1883,tcp,0.4244,1008,830,normal,0
1600000164,192.168.1.122,41263,10.0.0.3,1883,tcp,0.2571,1467,1523,normal,0
1600000381,192.168.1.65,37697,10.0.0.6,1883,tcp,1.0859,3270,2105,normal,0
1600000863,192.168.1.158,43565,10.0.0.9,1883,tcp,0.3785,3513,951,normal,0
1600000662,192.168.1.131,3455,10.0.0.8,80,tcp,0.5474,927,374,normal,0
1600000492,192.168.1.105,19747,10.0.0.1,80,tcp,1.1314,180,382,normal,0
1600000260,192.168.1.172,46108,10.0.0.8,502,tcp,0.5074,1898,899,normal,0
1600000859,192.168.1.41,7150,10.0.0.8,80,tcp,0.689,41154,20862,password,1
1600000848,192.168.1.98,40048,10.0.0.8,1883,tcp,0.2065,566,849,normal,0
1600000248,192.168.1.14,38340,10.0.0.4,1883,tcp,0.1518,1045,2023,normal,0
1600000828,192.168.1.56,5393,10.0.0.8,1883,tcp,0.0624,776,443,normal,0
1600000826,192.168.1.147,16044,10.0.0.4,502,tcp,0.7872,27298,17026,backdoor,1
1600000809,192.168.1.159,30197,10.0.0.4,8883,tcp,0.3777,1404,431,normal,0
1600000781,192.168.1.167,20333,10.0.0.9,502,tcp,0.985,4702,3011,normal,0
1600000877,192.168.1.179,54800,10.0.0.2,80,tcp,1.7591,65103,42603,ddos,1
1600000444,192.168.1.152,33763,10.0.0.6,1883,tcp,1.0706,1478,1852,normal,0
1600000433,192.168.1.154,63364,10.0.0.4,1883,tcp,1.2378,2439,2527,normal,0
1600000361,192.168.1.160,13366,10.0.0.5,80,tcp,0.2395,3612,578,normal,0
1600000065,192.168.1.141,45578,10.0.0.7,8883,tcp,0.1318,35319,33804,ddos,1
1600000168,192.168.1.198,44347,10.0.0.3,502,tcp,1.2801,3249,10358,ddos,1
1600000105,192.168.1.23,5906,10.0.0.5,502,tcp,0.2082,518,307,normal,0
1600000003,192.168.1.81,53273,10.0.0.5,8883,tcp,1.6869,31217,14159,ddos,1
1600000436,192.168.1.101,20447,10.0.0.1,502,tcp,1.8844,73440,33419,password,1
1600000972,192.168.1.172,42952,10.0.0.3,8883,tcp,0.4262,1054,2597,normal,0
1600000002,192.168.1.191,57028,10.0.0.5,502,tcp,0.4599,41300,26640,backdoor,1
1600000090,192.168.1.160,27135,10.0.0.6,502,tcp,2.9527,1586,2516,normal,0
1600000832,192.168.1.30,48122,10.0.0.5,8883,tcp,0.0838,82009,67981,password,1
1600000521,192.168.1.143,21035,10.0.0.6,8883,tcp,0.0577,347,701,normal,0
1600000334,192.168.1.197,49785,10.0.0.4,80,tcp,0.1603,1011,2620,normal,0
1600000560,192.168.1.160,3269,10.0.0.5,80,tcp,0.4357,1581,1452,normal,0
1600000101,192.168.1.160,8319,10.0.0.5,1883,tcp,0.7011,1240,208,normal,0
1600000733,192.168.1.120,22847,10.0.0.5,80,tcp,1.5366,2083,270,normal,0
1600000607,192.168.1.46,34706,10.0.0.3,502,tcp,0.0115,48023,20203,scanning,1
1600000735,192.168.1.60,8139,10.0.0.5,1883,tcp,0.6947,92399,70226,backdoor,1
1600000819,192.168.1.180,11578,10.0.0.2,1883,tcp,1.2811,17063,31555,ddos,1
1600000728,192.168.1.170,64378,10.0.0.2,502,tcp,0.4138,21734,15959,password,1
1600000111,192.168.1.94,65174,10.0.0.7,502,tcp,0.3153,121,159,normal,0
1600000028,192.168.1.14,24114,10.0.0.7,80,tcp,0.059,62122,22976,password,1
1600000502,192.168.1.148,34902,10.0.0.6,80,tcp,0.1595,1183,176,normal,0
1600000862,192.168.1.70,26829,10.0.0.2,8883,tcp,0.0475,510,221,normal,0
1600000218,192.168.1.103,42034,10.0.0.8,502,tcp,0.0447,3009,762,normal,0
1600000247,192.168.1.179,61724,10.0.0.9,80,tcp,0.3731,1313,717,normal,0
1600000581,192.168.1.192,47176,10.0.0.3,8883,tcp,0.2554,760,1397,normal,0
1600000076,192.168.1.16,36792,10.0.0.3,502,tcp,1.0575,11037,12910,ddos,1
1600000249,192.168.1.30,58317,10.0.0.9,80,tcp,0.5821,142452,12532,scanning,1
1600000588,192.168.1.92,48588,10.0.0.1,80,tcp,0.0013,4802,1252,normal,0
1600000266,192.168.1.42,52081,10.0.0.3,80,tcp,0.0312,2359,2105,normal,0
1600000877,192.168.1.184,45397,10.0.0.8,8883,tcp,1.5277,95518,65754,password,1
1600000434,192.168.1.80,45105,10.0.0.3,502,tcp,0.5923,4295,451,normal,0
1600000409,192.168.1.92,26246,10.0.0.1,8883,tcp,0.835,14577,13934,ddos,1
1600000428,192.168.1.42,6180,10.0.0.9,80,tcp,1.3504,1790,1624,normal,0
1600000178,192.168.1.161,47594,10.0.0.1,80,tcp,2.0557,1200,228,normal,0
1600000766,192.168.1.119,32976,10.0.0.5,1883,tcp,0.8195,4467,2092,normal,0
1600000528,192.168.1.45,21776,10.0.0.6,80,tcp,0.1662,2879,1977,normal,0
1600000205,192.168.1.72,29437,10.0.0.4,80,tcp,0.4731,23685,17766,scanning,1
1600000580,192.168.1.45,46370,10.0.0.4,80,tcp,1.0586,2870,2362,normal,0
1600000585,192.168.1.35,31379,10.0.0.2,80,tcp,0.3433,1772,1906,normal,0
1600000339,192.168.1.20,1687,10.0.0.3,1883,tcp,0.0386,1721,2103,normal,0
1600000157,192.168.1.10,21370,10.0.0.7,8883,tcp,0.1459,827,1949,normal,0
1600000771,192.168.1.55,65372,10.0.0.5,502,tcp,0.0207,41735,46223,ddos,1
1600000438,192.168.1.66,44714,10.0.0.5,80,tcp,0.0838,697,1576,normal,0
1600000554,192.168.1.118,50891,10.0.0.3,1883,tcp,0.3685,2972,1446,normal,0
1600000107,192.168.1.139,33852,10.0.0.3,8883,tcp,1.5677,73063,74418,ddos,1
1600000761,192.168.1.23,39550,10.0.0.9,1883,tcp,0.5754,1097,942,normal,0
1600000349,192.168.1.152,17152,10.0.0.1,502,tcp,0.6969,76106,9376,ddos,1
1600000090,192.168.1.162,22270,10.0.0.5,502,tcp,0.6653,2135,1279,normal,0
1600000410,192.168.1.133,20141,10.0.0.8,8883,tcp,0.0313,1240,1060,normal,0
1600000556,192.168.1.112,50885,10.0.0.6,8883,tcp,1.4775,18322,28375,ddos,1
1600000634,192.168.1.69,23265,10.0.0.6,502,tcp,0.681,615,402,normal,0
1600000120,192.168.1.88,38262,10.0.0.3,80,tcp,0.1937,2418,1425,normal,0
1600000476,192.168.1.194,8299,10.0.0.2,80,tcp,0.1087,24370,28100,backdoor,1
1600000810,192.168.1.174,28382,10.0.0.9,502,tcp,0.1168,1462,1358,normal,0
1600000752,192.168.1.82,7643,10.0.0.3,80,tcp,0.1907,36466,39276,ddos,1
1600000327,192.168.1.54,62017,10.0.0.3,8883,tcp,1.434,841,552,normal,0
1600000878,192.168.1.119,36972,10.0.0.6,502,tcp,0.4936,1952,1462,normal,0
1600000791,192.168.1.192,1468,10.0.0.7,8883,tcp,0.0975,581,749,normal,0
1600000465,192.168.1.149,11064,10.0.0.4,1883,tcp,0.0073,1551,723,normal,0
1600000415,192.168.1.24,47377,10.0.0.2,502,tcp,0.3437,987,1264,normal,0
1600000731,192.168.1.75,48801,10.0.0.2,80,tcp,0.7074,64161,21168,ddos,1
1600000818,192.168.1.11,39642,10.0.0.8,502,tcp,1.0943,58296,38140,backdoor,1
1600000268,192.168.1.143,54900,10.0.0.7,8883,tcp,2.2599,1880,487,normal,0
1600000922,192.168.1.77,62267,10.0.0.3,80,tcp,0.0454,168,581,normal,0
1600000733,192.168.1.47,61737,10.0.0.3,80,tcp,0.4052,2388,1499,normal,0
1600000750,192.168.1.13,32948,10.0.0.1,502,tcp,0.1546,21645,88487,ddos,1
1600000428,192.168.1.105,49636,10.0.0.3,80,tcp,0.0522,4018,1176,normal,0
1600000029,192.168.1.169,60057,10.0.0.1,502,tcp,1.839,69912,37797,ddos,1
1600000932,192.168.1.121,1518,10.0.0.7,1883,tcp,0.4435,576,279,normal,0
1600000970,192.168.1.192,14969,10.0.0.6,502,tcp,0.0113,648,208,normal,0
1600000163,192.168.1.75,55551,10.0.0.9,1883,tcp,1.5994,3013,1231,normal,0
1600000954,192.168.1.195,41113,10.0.0.8,8883,tcp,0.0631,446,276,normal,0
1600000785,192.168.1.192,49683,10.0.0.2,1883,tcp,1.161,2336,596,normal,0
1600000288,192.168.1.22,52181,10.0.0.7,80,tcp,0.1952,4151,2998,normal,0
1600000813,192.168.1.116,10037,10.0.0.3,8883,tcp,1.3248,406,200,normal,0
1600000341,192.168.1.119,45445,10.0.0.8,1883,tcp,0.3795,46094,20177,password,1
1600000493,192.168.1.89,1257,10.0.0.6,8883,tcp,0.0921,1146,2888,normal,0
1600000740,192.168.1.168,20427,10.0.0.8,8883,tcp,0.6253,598,556,normal,0
1600000432,192.168.1.136,49062,10.0.0.2,502,tcp,0.2117,1345,321,normal,0
1600000296,192.168.1.108,52789,10.0.0.6,1883,tcp,0.8218,1362,572,normal,0
1600000673,192.168.1.69,50067,10.0.0.9,502,tcp,0.4953,3423,2163,normal,0
1600000544,192.168.1.173,63715,10.0.0.7,502,tcp,0.0923,373,956,normal,0
1600000191,192.168.1.184,57744,10.0.0.4,8883,tcp,0.3644,405,575,normal,0
