srcip,sport,dstip,dsport,proto,dur,sbytes,dbytes,Spkts,Dpkts,attack_cat,label
175.45.178.32,48653,149.171.126.3,443,tcp,4.0299,6748,3147,42,34,Exploits,1
175.45.176.88,40893,149.171.126.1,80,tcp,0.7442,4137,405,88,0,DoS,1
10.40.0.85,39056,149.171.126.2,21,tcp,0.6046,2475,5745,10,28,Normal,0
10.40.0.85,8993,149.171.126.9,21,udp,0.5575,2400,2598,5,9,Normal,0
10.40.0.151,6455,149.171.126.8,53,udp,0.2624,2867,119,17,10,Normal,0
10.40.0.23,32752,149.171.126.6,21,udp,0.0591,3424,7835,18,2,Normal,0
10.40.0.2,17990,149.171.126.4,443,tcp,1.6819,833,964,7,24,Normal,0
10.40.0.57,40824,149.171.126.5,25,udp,1.1039,106,1679,12,15,Normal,0
10.40.0.58,4270,149.171.126.4,25,tcp,0.5592,323,666,24,21,Normal,0
10.40.0.89,34973,149.171.126.3,25,tcp,0.6543,3090,7080,9,19,Normal,0
10.40.0.132,18582,149.171.126.3,80,tcp,0.5454,1546,2313,13,9,Normal,0
10.40.0.135,33914,149.171.126.7,21,tcp,0.8127,1315,5614,9,17,Normal,0
10.40.0.176,48898,149.171.126.4,21,tcp,2.3015,2093,3576,12,23,Normal,0
175.45.178.93,59841,149.171.126.3,443,tcp,3.0249,7770,3537,41,29,Exploits,1
10.40.0.4,23669,149.171.126.1,80,udp,0.2471,2543,2101,5,11,Normal,0
175.45.177.93,6364,149.171.126.2,46438,tcp,0.0433,70,0,1,0,Reconnaissance,1
10.40.0.96,25844,149.171.126.6,80,udp,1.1953,1104,2888,27,9,Normal,0
10.40.0.204,5321,149.171.126.2,25,tcp,0.3834,2433,7229,13,25,Normal,0
175.45.178.54,6168,149.171.126.3,8080,tcp,1.5592,3292,3109,26,56,Exploits,1
175.45.178.69,28574,149.171.126.3,443,tcp,2.6429,2609,2850,42,16,Exploits,1
10.40.0.221,28454,149.171.126.8,21,tcp,0.5074,3823,4531,7,26,Normal,0
10.40.0.248,30228,149.171.126.5,25,tcp,0.9305,2670,4113,17,17,Normal,0
10.40.0.222,27390,149.171.126.8,443,udp,0.1983,2426,5339,17,28,Normal,0
10.40.0.125,8048,149.171.126.8,80,udp,0.983,655,4685,3,28,Normal,0
175.45.177.95,8251,149.171.126.2,45177,tcp,0.0288,46,0,1,0,Reconnaissance,1
175.45.178.34,36925,149.171.126.3,8080,tcp,2.9749,2595,2790,45,35,Exploits,1
10.40.0.19,53218,149.171.126.2,443,tcp,2.361,2986,1491,5,25,Normal,0
175.45.178.105,41136,149.171.126.3,502,tcp,3.3305,7638,2734,15,27,Exploits,1
175.45.180.212,19075,149.171.126.5,445,tcp,2.0161,2754,2514,26,12,Worms,1
175.45.177.214,41952,149.171.126.2,63382,tcp,0.003,53,0,1,0,Reconnaissance,1
10.40.0.228,40983,149.171.126.6,25,tcp,0.0018,3039,4048,14,8,Normal,0
10.40.0.83,51012,149.171.126.4,53,udp,1.3578,1615,7225,13,24,Normal,0
175.45.177.162,7546,149.171.126.2,27218,tcp,0.0116,61,0,1,0,Reconnaissance,1
10.40.0.131,16393,149.171.126.6,25,udp,2.4039,3564,5473,7,9,Normal,0
175.45.177.253,60150,149.171.126.2,27026,tcp,0.0312,61,0,1,0,Reconnaissance,1
175.45.177.86,19579,149.171.126.2,10348,tcp,0.0171,43,0,1,0,Reconnaissance,1
10.40.0.30,58139,149.171.126.2,443,udp,0.2599,3366,6721,21,2,Normal,0
10.40.0.24,58714,149.171.126.2,53,udp,0.5798,532,5878,14,20,Normal,0
10.40.0.176,26625,149.171.126.6,443,udp,0.4157,286,5614,16,20,Normal,0
175.45.176.233,21860,149.171.126.1,80,tcp,0.2716,17696,73,168,0,DoS,1
10.40.0.164,36192,149.171.126.7,25,udp,0.5888,2246,7237,7,12,Normal,0
10.40.0.179,56366,149.171.126.6,21,udp,2.5783,3662,749,11,3,Normal,0
10.40.0.37,24567,149.171.126.3,80,udp,0.1818,3050,6254,8,26,Normal,0
175.45.176.66,44129,149.171.126.1,80,tcp,0.162,9955,382,50,1,DoS,1
10.40.0.147,65394,149.171.126.3,80,tcp,1.9432,427,4737,17,19,Normal,0
175.45.178.4,46110,149.171.126.3,502,tcp,3.1196,8920,4493,58,19,Exploits,1
175.45.178.164,6126,149.171.126.3,502,tcp,4.3099,6635,3936,53,31,Exploits,1
10.40.0.204,44452,149.171.126.6,443,udp,0.4425,3446,448,12,6,Normal,0
10.40.0.164,13770,149.171.126.4,25,udp,0.914,3266,2212,28,2,Normal,0
175.45.177.251,33210,149.171.126.2,53917,tcp,0.0018,70,0,1,0,Reconnaissance,1
10.40.0.10,33262,149.171.126.9,53,tcp,0.8179,1840,7068,21,21,Normal,0
10.40.0.10,63752,149.171.126.6,25,udp,0.0055,510,2318,12,2,Normal,0
175.45.176.124,64167,149.171.126.1,80,tcp,0.641,4579,317,170,0,DoS,1
10.40.0.100,13303,149.171.126.7,53,tcp,0.5713,3595,474,4,17,Normal,0
175.45.177.85,37126,149.171.126.2,46032,tcp,0.0319,68,0,1,0,Reconnaissance,1
10.40.0.25,41720,149.171.126.2,25,tcp,2.1664,2648,6440,4,8,Normal,0
10.40.0.164,55890,149.171.126.2,443,udp,2.5606,940,1544,19,9,Normal,0
10.40.0.79,31778,149.171.126.7,53,udp,0.186,3641,1606,29,25,Normal,0
175.45.178.126,34936,149.171.126.3,8080,tcp,4.3813,8335,2377,24,23,Exploits,1
10.40.0.38,47088,149.171.126.2,21,udp,0.2646,1430,3825,11,10,Normal,0
175.45.178.106,52711,149.171.126.3,443,tcp,1.8165,4765,3419,22,20,Exploits,1
10.40.0.49,44326,149.171.126.1,21,tcp,0.9509,1604,4038,25,24,Normal,0
175.45.179.50,27060,149.171.126.4,443,udp,1.9525,2371,679,19,8,Fuzzers,1
10.40.0.248,58027,149.171.126.8,53,udp,0.0052,77,1832,10,14,Normal,0
10.40.0.19,33605,149.171.126.4,443,udp,1.6338,3059,2281,27,6,Normal,0
10.40.0.248,33272,149.171.126.8,443,udp,0.2549,1672,1453,15,25,Normal,0
175.45.180.148,8279,149.171.126.5,445,tcp,1.9219,3692,2072,12,34,Worms,1
10.40.0.15,19496,149.171.126.8,53,tcp,0.3699,277,6247,13,18,Normal,0
175.45.177.119,17850,149.171.126.2,39351,tcp,0.0196,42,0,1,0,Reconnaissance,1
10.40.0.145,39065,149.171.126.7,443,udp,1.7886,1279,5177,4,2,Normal,0
10.40.0.245,56557,149.171.126.7,80,tcp,0.1875,2625,2212,8,23,Normal,0
10.40.0.130,49649,149.171.126.8,25,udp,1.7092,3358,5370,24,11,Normal,0
175.45.178.122,5446,149.171.126.3,443,tcp,2.3039,6076,4202,58,55,Exploits,1
10.40.0.124,11611,149.171.126.7,53,tcp,1.301,1478,4867,2,17,Normal,0
175.45.176.103,19433,149.171.126.1,80,tcp,1.1801,20280,147,98,2,DoS,1
10.40.0.96,57694,149.171.126.9,53,udp,0.8135,2097,4808,17,4,Normal,0
10.40.0.192,4896,149.171.126.6,21,tcp,2.4972,3874,1652,13,9,Normal,0
10.40.0.240,46646,149.171.126.4,21,tcp,0.724,2706,1921,16,25,Normal,0
10.40.0.203,2664,149.171.126.3,25,tcp,0.6686,1592,459,7,9,Normal,0
175.45.179.227,59717,149.171.126.4,80,udp,1.5027,1842,872,18,2,Fuzzers,1
10.40.0.226,27919,149.171.126.8,53,udp,0.0049,3923,6881,24,11,Normal,0
10.40.0.6,4923,149.171.126.3,53,udp,0.848,2272,6840,27,7,Normal,0
10.40.0.242,17259,149.171.126.3,443,tcp,1.2124,918,4456,15,28,Normal,0
10.40.0.192,31197,149.171.126.3,53,udp,0.0428,209,3644,21,11,Normal,0
175.45.179.10,20315,149.171.126.4,80,udp,0.2557,1093,855,19,6,Fuzzers,1
175.45.179.96,60291,149.171.126.4,443,udp,1.016,832,694,9,2,Fuzzers,1
175.45.178.37,33669,149.171.126.3,502,tcp,3.3146,5321,3972,30,38,Exploits,1
10.40.0.66,59358,149.171.126.3,53,udp,0.044,3208,1219,2,2,Normal,0
10.40.0.21,28920,149.171.126.3,443,tcp,3.3972,1304,5498,26,25,Normal,0
175.45.179.169,27825,149.171.126.4,80,udp,1.2323,1534,637,7,6,Fuzzers,1
10.40.0.69,32295,149.171.126.7,21,tcp,0.4026,1260,6685,9,8,Normal,0
10.40.0.36,37717,149.171.126.6,53,tcp,2.1171,2159,7869,28,21,Normal,0
10.40.0.5,24280,149.171.126.7,21,udp,0.493,1981,5385,17,20,Normal,0
10.40.0.10,43842,149.171.126.5,53,tcp,0.0643,530,3856,28,27,Normal,0
175.45.178.57,64674,149.171.126.3,8080,tcp,3.7872,5827,2281,49,27,Exploits,1
10.40.0.184,25064,149.171.126.7,25,udp,0.4698,3486,2737,6,14,Normal,0
10.40.0.66,28934,149.171.126.1,25,tcp,0.5594,1122,7383,22,12,Normal,0
10.40.0.126,8063,149.171.126.9,21,tcp,1.5467,3121,6141,7,18,Normal,0
175.45.176.233,39771,149.171.126.1,80,tcp,0.239,23513,222,50,0,DoS,1
10.40.0.58,52036,149.171.126.7,443,tcp,1.1471,1108,7368,20,12,Normal,0
10.40.0.181,57745,149.171.126.1,80,tcp,0.1348,229,612,22,23,Normal,0
175.45.176.146,3127,149.171.126.1,80,tcp,1.1753,8536,114,146,1,DoS,1
10.40.0.10,32691,149.171.126.5,53,udp,0.023,2038,2699,5,2,Normal,0
10.40.0.213,45897,149.171.126.6,25,tcp,0.4389,2088,449,23,2,Normal,0
10.40.0.129,36505,149.171.126.5,25,tcp,0.914,2295,6785,29,8,Normal,0
175.45.176.206,58013,149.171.126.1,80,tcp,0.8748,18180,309,133,1,DoS,1
175.45.176.81,63704,149.171.126.1,80,tcp,0.686,20195,163,116,3,DoS,1
175.45.177.194,8165,149.171.126.2,56613,tcp,0.0296,62,0,1,0,Reconnaissance,1
175.45.178.47,54816,149.171.126.3,8080,tcp,4.6109,6235,1932,47,38,Exploits,1
175.45.180.124,31196,149.171.126.5,1433,tcp,2.0819,3789,2616,25,33,Worms,1
10.40.0.8,41765,149.171.126.3,80,tcp,0.655,3115,1692,5,21,Normal,0
175.45.178.237,62477,149.171.126.3,443,tcp,2.3766,8184,2880,18,46,Exploits,1
175.45.176.173,53454,149.171.126.1,80,tcp,1.0674,2190,236,190,0,DoS,1
10.40.0.245,61849,149.171.126.9,53,udp,1.026,2193,1933,4,13,Normal,0
10.40.0.144,9643,149.171.126.5,21,tcp,2.144,1295,4975,20,14,Normal,0
10.40.0.67,26848,149.171.126.1,80,tcp,0.1367,2873,6111,20,28,Normal,0
175.45.177.86,12530,149.171.126.2,59071,tcp,0.0052,61,0,1,0,Reconnaissance,1
175.45.178.180,34089,149.171.126.3,502,tcp,2.8793,5844,1550,41,19,Exploits,1
10.40.0.162,20024,149.171.126.2,443,udp,0.1467,2801,3520,4,3,Normal,0
10.40.0.98,8332,149.171.126.9,25,tcp,0.2403,1673,807,20,12,Normal,0
10.40.0.175,57425,149.171.126.1,53,tcp,0.0214,3148,1052,9,18,Normal,0
175.45.178.2,60240,149.171.126.3,8080,tcp,2.629,7871,3382,44,35,Exploits,1
10.40.0.40,33920,149.171.126.8,25,tcp,0.074,2751,2742,22,24,Normal,0
10.40.0.233,35413,149.171.126.3,53,udp,0.2882,1785,6164,28,24,Normal,0
10.40.0.27,44732,149.171.126.3,80,udp,1.0517,157,473,10,6,Normal,0
175.45.177.199,7330,149.171.126.2,46994,tcp,0.0176,57,0,1,0,Reconnaissance,1
10.40.0.99,24035,149.171.126.6,80,udp,2.684,160,6611,22,11,Normal,0
10.40.0.36,41762,149.171.126.2,443,udp,0.0919,3528,6222,2,11,Normal,0
175.45.178.83,26372,149.171.126.3,8080,tcp,4.3263,2243,3868,35,50,Exploits,1
10.40.0.29,33320,149.171.126.3,80,tcp,0.7865,2904,2678,7,26,Normal,0
175.45.176.155,62530,149.171.126.1,80,tcp,0.7211,7560,490,111,2,DoS,1
10.40.0.156,56954,149.171.126.5,443,tcp,0.0369,1447,2800,7,4,Normal,0
10.40.0.225,25628,149.171.126.6,80,udp,0.9394,1233,2404,2,13,Normal,0
175.45.177.124,2611,149.171.126.2,28946,tcp,0.0457,58,0,1,0,Reconnaissance,1
10.40.0.218,24278,149.171.126.3,443,udp,0.1397,3315,769,22,18,Normal,0
10.40.0.95,26344,149.171.126.6,53,udp,0.1373,1548,2439,25,22,Normal,0
10.40.0.212,50940,149.171.126.7,21,tcp,0.3448,163,5538,10,16,Normal,0
10.40.0.58,5237,149.171.126.9,53,tcp,0.0031,1883,4928,2,7,Normal,0
10.40.0.221,40691,149.171.126.2,21,udp,1.449,1120,4948,17,8,Normal,0
10.40.0.159,30811,149.171.126.6,21,tcp,1.5301,823,216,4,19,Normal,0
10.40.0.124,61545,149.171.126.7,21,udp,0.6865,3132,1875,29,2,Normal,0
175.45.178.215,17651,149.171.126.3,502,tcp,2.2721,8585,2640,38,49,Exploits,1
10.40.0.13,5106,149.171.126.7,80,tcp,0.2116,2908,5908,19,15,Normal,0
175.45.176.16,36430,149.171.126.1,80,tcp,1.107,19587,29,72,1,DoS,1
175.45.176.21,20818,149.171.126.1,80,tcp,0.6085,19232,334,178,3,DoS,1
175.45.176.221,15866,149.171.126.1,80,tcp,1.0625,17153,388,81,2,DoS,1
10.40.0.159,40943,149.171.126.3,21,tcp,0.7417,1439,3767,19,5,Normal,0
10.40.0.231,14327,149.171.126.1,443,udp,1.1061,3629,6894,5,24,Normal,0
10.40.0.121,55604,149.171.126.1,443,tcp,0.0656,2660,5460,5,8,Normal,0
175.45.180.156,33148,149.171.126.5,135,tcp,1.8215,2035,1919,35,20,Worms,1
10.40.0.211,57867,149.171.126.3,53,tcp,1.2835,2945,133,23,26,Normal,0
10.40.0.48,62790,149.171.126.3,25,tcp,1.3195,954,620,16,13,Normal,0
10.40.0.67,50043,149.171.126.1,21,tcp,1.8196,1916,5837,7,23,Normal,0
175.45.176.151,63070,149.171.126.1,80,tcp,0.3674,22084,247,148,3,DoS,1
175.45.178.33,17054,149.171.126.3,502,tcp,2.1475,6987,2076,17,24,Exploits,1
10.40.0.16,51819,149.171.126.5,25,udp,0.5942,2695,6460,28,7,Normal,0
175.45.178.227,33303,149.171.126.3,443,tcp,4.0479,5250,1094,33,58,Exploits,1
10.40.0.2,45109,149.171.126.1,21,udp,1.7014,2980,1747,17,2,Normal,0
10.40.0.148,9505,149.171.126.2,25,tcp,2.9819,2023,451,3,20,Normal,0
175.45.176.70,43894,149.171.126.1,80,tcp,0.7561,13603,268,125,0,DoS,1
10.40.0.139,13492,149.171.126.5,443,tcp,0.1011,349,6398,3,3,Normal,0
10.40.0.218,13973,149.171.126.3,53,udp,0.5521,3118,5461,27,14,Normal,0
10.40.0.6,54896,149.171.126.4,21,tcp,1.0558,2915,4687,20,6,Normal,0
175.45.176.43,19134,149.171.126.1,80,tcp,1.017,14351,143,108,4,DoS,1
175.45.176.58,24921,149.171.126.1,80,tcp,0.4434,4280,243,67,2,DoS,1
175.45.176.151,26904,149.171.126.1,80,tcp,0.7962,21287,311,162,1,DoS,1
175.45.178.145,62341,149.171.126.3,502,tcp,2.5698,8948,2074,16,36,Exploits,1
10.40.0.189,32817,149.171.126.8,53,tcp,1.0009,885,4091,14,13,Normal,0
175.45.180.145,24447,149.171.126.5,445,tcp,3.9397,5345,2355,16,20,Worms,1
175.45.176.158,21340,149.171.126.1,80,tcp,0.7809,24801,260,92,3,DoS,1
10.40.0.232,24013,149.171.126.4,53,udp,0.1748,3724,768,29,16,Normal,0
10.40.0.86,25869,149.171.126.8,25,udp,0.7468,2516,5137,17,6,Normal,0
10.40.0.231,3962,149.171.126.6,443,udp,0.51,3246,2723,8,19,Normal,0
10.40.0.184,6821,149.171.126.8,443,tcp,0.2844,515,4830,3,23,Normal,0
10.40.0.115,3895,149.171.126.5,443,udp,0.0829,3530,5705,9,9,Normal,0
10.40.0.59,26865,149.171.126.4,80,tcp,0.1807,3333,5269,16,19,Normal,0
175.45.176.192,45857,149.171.126.1,80,tcp,0.9264,21798,119,149,1,DoS,1
10.40.0.147,59769,149.171.126.5,21,tcp,0.1656,846,2622,12,22,Normal,0
175.45.177.77,62494,149.171.126.2,2545,tcp,0.0091,67,0,1,0,Reconnaissance,1
10.40.0.252,58402,149.171.126.4,53,udp,1.5461,920,5854,18,22,Normal,0
10.40.0.62,7357,149.171.126.6,21,tcp,0.3452,2879,640,9,23,Normal,0
10.40.0.100,2937,149.171.126.8,80,udp,2.6426,785,4606,8,23,Normal,0
10.40.0.222,18230,149.171.126.6,443,tcp,2.5976,3213,7277,12,18,Normal,0
175.45.180.198,24032,149.171.126.5,445,tcp,3.6486,1516,1782,15,31,Worms,1
10.40.0.208,49395,149.171.126.4,53,tcp,1.7737,1879,3004,19,12,Normal,0
175.45.179.53,19056,149.171.126.4,443,udp,0.9514,674,518,8,6,Fuzzers,1
10.40.0.182,13765,149.171.126.6,53,udp,0.0677,3891,2256,18,14,Normal,0
175.45.177.240,43477,149.171.126.2,64725,tcp,0.0029,74,0,1,0,Reconnaissance,1
10.40.0.62,19251,149.171.126.5,80,udp,1.1595,2257,1985,20,25,Normal,0
10.40.0.218,51108,149.171.126.7,53,tcp,2.581,2985,6115,26,21,Normal,0
10.40.0.26,49870,149.171.126.2,53,udp,2.6217,2869,4638,29,3,Normal,0
10.40.0.138,2715,149.171.126.1,21,udp,1.5621,1324,7568,25,12,Normal,0
10.40.0.72,25702,149.171.126.2,21,tcp,0.3468,2058,3509,9,27,Normal,0
175.45.178.113,6594,149.171.126.3,443,tcp,3.401,6088,4615,55,38,Exploits,1
10.40.0.98,19467,149.171.126.6,53,udp,1.163,1719,5507,8,16,Normal,0
10.40.0.57,4644,149.171.126.3,53,udp,0.4524,1064,7685,11,20,Normal,0
10.40.0.219,52102,149.171.126.8,443,tcp,2.9877,3022,5170,11,23,Normal,0
10.40.0.208,34865,149.171.126.9,21,udp,0.8129,1476,639,14,27,Normal,0
175.45.179.250,1744,149.171.126.4,443,udp,1.6288,2649,564,12,5,Fuzzers,1
175.45.176.166,12661,149.171.126.1,80,tcp,0.4091,18800,284,49,3,DoS,1
175.45.176.147,42639,149.171.126.1,80,tcp,0.646,16555,94,76,1,DoS,1
175.45.176.37,10341,149.171.126.1,80,tcp,0.3616,14480,485,112,1,DoS,1
10.40.0.9,53642,149.171.126.7,443,tcp,0.0429,3881,5554,13,7,Normal,0
175.45.176.165,4043,149.171.126.1,80,tcp,0.0584,13591,335,55,2,DoS,1
10.40.0.150,63031,149.171.126.2,443,tcp,2.3538,1063,1994,14,2,Normal,0
10.40.0.50,16741,149.171.126.7,53,udp,0.0151,2898,6807,5,26,Normal,0
10.40.0.161,14705,149.171.126.2,21,udp,0.5677,2697,4114,10,23,Normal,0
10.40.0.211,28373,149.171.126.8,53,tcp,1.6767,1201,3504,27,3,Normal,0
175.45.179.179,55410,149.171.126.4,80,udp,1.723,621,584,19,8,Fuzzers,1
10.40.0.234,20067,149.171.126.5,25,tcp,1.2103,2973,7121,8,13,Normal,0
10.40.0.163,16192,149.171.126.2,25,tcp,0.8779,2315,2961,21,20,Normal,0
10.40.0.205,4622,149.171.126.1,53,udp,0.7221,3700,6778,27,28,Normal,0
10.40.0.198,15954,149.171.126.6,53,udp,0.02,1781,3191,8,14,Normal,0
175.45.176.26,42915,149.171.126.1,80,tcp,0.565,8700,143,51,0,DoS,1
175.45.176.221,7438,149.171.126.1,80,tcp,0.7638,7672,365,178,4,DoS,1
10.40.0.160,50355,149.171.126.9,80,udp,0.3318,3864,6846,18,27,Normal,0
10.40.0.70,16605,149.171.126.9,80,udp,0.1284,3821,1508,16,23,Normal,0
10.40.0.19,28280,149.171.126.3,80,udp,0.0006,305,6119,11,23,Normal,0
10.40.0.16,13580,149.171.126.4,80,tcp,1.2539,3989,7425,14,16,Normal,0
10.40.0.114,54439,149.171.126.1,21,udp,0.041,3045,3263,18,27,Normal,0
10.40.0.251,60087,149.171.126.2,21,tcp,0.1056,3341,1379,14,18,Normal,0
10.40.0.19,56899,149.171.126.6,25,tcp,0.0291,2189,7516,5,20,Normal,0
175.45.179.77,27029,149.171.126.4,443,udp,0.2051,738,495,15,4,Fuzzers,1
10.40.0.146,6878,149.171.126.2,53,udp,0.8323,1337,7450,17,4,Normal,0
10.40.0.147,64301,149.171.126.3,80,tcp,2.1067,178,4527,3,18,Normal,0
175.45.178.44,55493,149.171.126.3,443,tcp,3.1547,6882,1875,29,18,Exploits,1
175.45.177.26,22276,149.171.126.2,16851,tcp,0.0258,53,0,1,0,Reconnaissance,1
10.40.0.187,52295,149.171.126.3,80,udp,0.0681,864,5275,26,13,Normal,0
175.45.176.155,30069,149.171.126.1,80,tcp,0.737,5537,453,158,0,DoS,1
10.40.0.181,44537,149.171.126.8,21,udp,0.5977,3407,4807,28,29,Normal,0
10.40.0.192,23558,149.171.126.8,25,udp,0.7988,3148,2673,8,6,Normal,0
10.40.0.214,34633,149.171.126.2,443,tcp,0.201,2571,5052,18,26,Normal,0
10.40.0.155,48718,149.171.126.4,25,udp,0.0431,2256,359,11,19,Normal,0
175.45.178.246,63669,149.171.126.3,502,tcp,4.045,2432,3446,25,40,Exploits,1
10.40.0.211,64936,149.171.126.4,25,tcp,0.826,2725,2406,4,15,Normal,0
175.45.176.170,60436,149.171.126.1,80,tcp,0.712,1076,66,177,1,DoS,1
175.45.177.147,49717,149.171.126.2,25764,tcp,0.0275,77,0,1,0,Reconnaissance,1
10.40.0.208,52907,149.171.126.5,53,udp,1.1633,2622,7043,4,11,Normal,0
10.40.0.148,33814,149.171.126.9,80,tcp,1.5795,363,2144,3,27,Normal,0
10.40.0.227,59010,149.171.126.7,21,udp,0.2999,88,3046,8,2,Normal,0
10.40.0.244,51964,149.171.126.1,443,udp,0.3156,926,5129,11,25,Normal,0
10.40.0.167,26849,149.171.126.2,25,tcp,0.2249,3215,78,2,25,Normal,0
10.40.0.243,58320,149.171.126.7,21,udp,0.3008,2286,3541,17,6,Normal,0
175.45.178.33,10338,149.171.126.3,502,tcp,2.0824,5453,4234,44,41,Exploits,1
10.40.0.131,38201,149.171.126.5,25,udp,0.0124,2407,2493,27,23,Normal,0
10.40.0.77,36216,149.171.126.7,80,tcp,5.0153,291,684,13,8,Normal,0
10.40.0.179,8388,149.171.126.3,25,udp,0.319,898,5492,13,22,Normal,0
10.40.0.249,2213,149.171.126.2,80,tcp,0.9994,1939,3955,14,2,Normal,0
10.40.0.66,61515,149.171.126.5,25,udp,0.1219,2114,7397,28,24,Normal,0
175.45.177.177,23080,149.171.126.2,48483,tcp,0.0413,41,0,1,0,Reconnaissance,1
10.40.0.198,44344,149.171.126.8,21,udp,1.1831,3778,5354,25,9,Normal,0
10.40.0.187,22200,149.171.126.8,53,tcp,0.9386,2101,1505,16,17,Normal,0
10.40.0.196,6947,149.171.126.7,53,tcp,1.2021,2930,494,28,3,Normal,0
10.40.0.161,23411,149.171.126.2,21,tcp,0.5735,722,1463,12,28,Normal,0
