Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Packets/s,Source IP,Destination IP,Label
80,29353425,66,1,6027,41,2.25,45.154.255.14,10.0.0.1,DoS Hulk
22,2306614,32,29,5029,4754,27.73,103.203.57.213,10.0.0.4,SSH-Patator
80,1151277,23,9,7610,3799,27.77,192.168.1.204,10.0.0.8,BENIGN
443,97897,1073,0,64841,0,10949.25,185.220.15.185,10.0.0.1,DDoS
554,225041,5,12,396,13292,75.21,192.168.1.180,10.0.0.8,BENIGN
8080,302419,19,29,4151,31001,158.2,192.168.1.180,10.0.0.8,BENIGN
21439,3047,1,0,59,0,635.46,194.26.29.224,10.0.0.2,PortScan
443,269419,25,22,9909,5796,173.8,192.168.1.165,10.0.0.2,BENIGN
554,176331,27,39,4245,40129,372.18,192.168.1.17,10.0.0.3,BENIGN
5643,3946,2,0,44,0,494.29,194.26.29.183,10.0.0.2,PortScan
8080,254255,1322,0,67951,0,5197.44,185.220.105.121,10.0.0.1,DDoS
53,744419,23,23,3019,29487,61.71,192.168.1.111,10.0.0.3,BENIGN
80,144840,1739,0,77789,0,11998.01,185.220.76.194,10.0.0.1,DDoS
443,284000,2009,0,91544,0,7071.44,185.220.25.16,10.0.0.1,DDoS
443,14556792,50,53,53458,28340,6.87,198.51.100.218,10.0.0.3,Infiltration
22,2392343,30,29,2448,3304,25.07,103.203.57.124,10.0.0.4,SSH-Patator
554,1957014,9,20,2695,14305,14.81,192.168.1.68,10.0.0.9,BENIGN
80,6204159,32,36,2905,42830,10.96,192.168.1.225,10.0.0.2,BENIGN
80,18359988,27,3,1168,137,1.47,45.154.255.112,10.0.0.1,DoS Hulk
443,457833,1995,0,135694,0,4356.53,185.220.58.77,10.0.0.1,DDoS
443,3256520,2,17,576,3051,5.83,192.168.1.125,10.0.0.8,BENIGN
554,186844,31,14,10673,16701,239.56,192.168.1.174,10.0.0.9,BENIGN
80,1677154,4,33,2011,23013,22.05,192.168.1.96,10.0.0.8,BENIGN
443,1091438,30,21,5128,24393,46.68,192.168.1.189,10.0.0.3,BENIGN
443,2745949,17,16,7907,19718,12.01,192.168.1.97,10.0.0.8,BENIGN
8080,2779765,26,16,12661,6744,15.1,192.168.1.174,10.0.0.4,BENIGN
443,70326,744,0,39418,0,10564.18,185.220.145.81,10.0.0.1,DDoS
443,336180,27,28,8340,17269,163.12,192.168.1.87,10.0.0.6,BENIGN
80,194002,222,0,8950,0,1143.72,185.220.54.224,10.0.0.1,DDoS
8080,301624,187,0,8105,0,619.77,185.220.210.115,10.0.0.1,DDoS
42873,3852,2,0,45,0,506.05,194.26.29.165,10.0.0.2,PortScan
443,287521,2,7,847,2674,31.19,192.168.1.144,10.0.0.9,BENIGN
80,645889,19,33,5387,7099,80.38,192.168.1.23,10.0.0.4,BENIGN
22,451153,16,35,5986,20248,112.79,192.168.1.10,10.0.0.2,BENIGN
443,2140338,30,5,4204,935,16.34,192.168.1.126,10.0.0.1,BENIGN
53,727567,13,37,3926,35639,68.63,192.168.1.162,10.0.0.8,BENIGN
502,5676843,42,41,20703,30167,14.79,198.51.100.233,10.0.0.3,Infiltration
53,1748955,30,6,9081,5362,20.57,192.168.1.11,10.0.0.4,BENIGN
443,15738819,10,26,4822,24621,2.29,192.168.1.166,10.0.0.6,BENIGN
554,867541,31,5,9093,6366,41.45,192.168.1.176,10.0.0.7,BENIGN
8080,1927535,20,28,7025,16037,24.89,192.168.1.159,10.0.0.8,BENIGN
22,1392417,25,23,10652,19993,34.45,192.168.1.219,10.0.0.5,BENIGN
8080,18363,11,5,2152,980,826.29,192.168.1.15,10.0.0.1,BENIGN
443,2039836,17,33,7114,15303,24.5,192.168.1.177,10.0.0.2,BENIGN
60402,2139,1,0,52,0,892.97,194.26.29.239,10.0.0.2,PortScan
80,26655625,72,1,5596,165,2.7,45.154.255.83,10.0.0.1,DoS Hulk
8080,264716,2338,0,175259,0,8828.77,185.220.126.100,10.0.0.1,DDoS
554,712720,14,33,3051,25582,65.85,192.168.1.188,10.0.0.6,BENIGN
53371,3152,2,0,50,0,614.98,194.26.29.173,10.0.0.2,PortScan
554,236747,15,15,2992,12390,126.18,192.168.1.90,10.0.0.9,BENIGN
80,37569,16,25,7712,16655,1063.02,192.168.1.126,10.0.0.6,BENIGN
8080,28810,2097,0,137305,0,72534.96,185.220.222.230,10.0.0.1,DDoS
53,5823388,32,4,10376,2808,6.18,192.168.1.178,10.0.0.3,BENIGN
21,1013400,15,14,1391,1635,29.57,103.203.57.215,10.0.0.4,SSH-Patator
443,1304499,2,24,600,4576,19.92,192.168.1.85,10.0.0.4,BENIGN
22,179681,9,23,3149,4241,177.11,192.168.1.48,10.0.0.7,BENIGN
443,987804,21,4,10634,4121,25.28,192.168.1.96,10.0.0.3,BENIGN
22,1648228,3,34,686,26349,22.43,192.168.1.152,10.0.0.3,BENIGN
554,849658,25,5,4210,4100,35.27,192.168.1.154,10.0.0.7,BENIGN
21,1200642,17,15,1642,2232,28.29,103.203.57.136,10.0.0.4,SSH-Patator
443,4061021,14,10,6076,13667,5.91,192.168.1.21,10.0.0.6,BENIGN
443,3441957,15,29,2166,23460,12.78,192.168.1.127,10.0.0.4,BENIGN
16639,4528,2,0,50,0,432.1,194.26.29.226,10.0.0.2,PortScan
80,28579720,75,2,6189,128,2.62,45.154.255.25,10.0.0.1,DoS Hulk
22,947123,23,19,9897,23014,44.3,192.168.1.132,10.0.0.1,BENIGN
53,401755,17,33,2340,8480,124.14,192.168.1.194,10.0.0.6,BENIGN
443,2079061,13,7,2624,2514,9.62,192.168.1.149,10.0.0.4,BENIGN
22,1552194,24,6,7539,8167,19.32,192.168.1.238,10.0.0.2,BENIGN
20091,735,1,0,52,0,2393.89,194.26.29.188,10.0.0.2,PortScan
554,1805330,6,21,1599,6160,14.95,192.168.1.238,10.0.0.1,BENIGN
80,513070,4,31,449,42491,68.08,192.168.1.105,10.0.0.2,BENIGN
22,1458400,21,19,4018,2343,28.78,103.203.57.2,10.0.0.4,SSH-Patator
53,2056783,25,7,7505,1429,15.55,192.168.1.149,10.0.0.3,BENIGN
53,2489324,15,5,2472,5714,8.03,192.168.1.123,10.0.0.3,BENIGN
554,1477706,18,2,1894,1338,13.53,192.168.1.68,10.0.0.4,BENIGN
80,7283712,21,4,1552,66,2.88,45.154.255.226,10.0.0.1,DoS Hulk
31083,2737,1,0,52,0,704.94,194.26.29.239,10.0.0.2,PortScan
80,1178760,7,30,1649,34082,31.36,192.168.1.208,10.0.0.9,BENIGN
22,1661972,20,18,3130,1437,24.05,103.203.57.106,10.0.0.4,SSH-Patator
6402,3131,2,0,44,0,618.97,194.26.29.157,10.0.0.2,PortScan
53,843222,10,26,2192,24444,42.64,192.168.1.236,10.0.0.2,BENIGN
21,1994686,28,24,5449,2912,28.06,103.203.57.18,10.0.0.4,SSH-Patator
22,1535518,19,17,8000,3569,23.43,192.168.1.233,10.0.0.7,BENIGN
443,615267,16,7,2623,5454,37.32,192.168.1.32,10.0.0.1,BENIGN
53,222983,21,21,4820,24551,187.51,192.168.1.218,10.0.0.5,BENIGN
554,1438182,10,2,2282,468,8.34,192.168.1.182,10.0.0.8,BENIGN
53,529473,13,38,3201,44186,96.14,192.168.1.64,10.0.0.8,BENIGN
80,1729437,10,34,2366,46026,25.43,192.168.1.142,10.0.0.7,BENIGN
443,53039,21,17,10276,7970,703.18,192.168.1.145,10.0.0.2,BENIGN
80,718457,19,28,3724,21567,65.33,192.168.1.185,10.0.0.9,BENIGN
22,857034,18,12,3856,14987,34.96,192.168.1.206,10.0.0.4,BENIGN
554,2499994,19,10,2946,9586,11.6,192.168.1.29,10.0.0.3,BENIGN
443,2050174,6,36,1165,19373,20.48,192.168.1.69,10.0.0.7,BENIGN
53,822194,9,34,3391,20983,52.24,192.168.1.182,10.0.0.6,BENIGN
53,384498,24,30,2118,35094,140.08,192.168.1.71,10.0.0.1,BENIGN
53,745794,12,37,5398,43577,65.61,192.168.1.157,10.0.0.7,BENIGN
22,371247,26,23,5531,22427,131.63,192.168.1.137,10.0.0.9,BENIGN
6047,3872,1,0,55,0,503.51,194.26.29.66,10.0.0.2,PortScan
8080,1695879,27,14,9947,18539,24.16,192.168.1.167,10.0.0.7,BENIGN
80,27182811,29,4,1638,172,1.07,45.154.255.175,10.0.0.1,DoS Hulk
22,255499,25,22,2173,23151,183.24,192.168.1.106,10.0.0.3,BENIGN
80,927274,6,9,1414,4374,16.16,192.168.1.123,10.0.0.3,BENIGN
21,1356796,15,12,2195,1540,22.09,103.203.57.185,10.0.0.4,SSH-Patator
22,729865,2,18,354,20066,27.36,192.168.1.109,10.0.0.6,BENIGN
80,14982785,70,4,3447,91,4.67,45.154.255.67,10.0.0.1,DoS Hulk
8080,541836,20,15,8760,11696,64.48,192.168.1.222,10.0.0.2,BENIGN
23209,2653,1,0,57,0,726.32,194.26.29.76,10.0.0.2,PortScan
8080,2904676,5,22,1014,29872,9.29,192.168.1.171,10.0.0.4,BENIGN
8080,80537,11,17,1815,14554,343.4,192.168.1.119,10.0.0.4,BENIGN
80,19742112,52,1,4427,66,2.63,45.154.255.17,10.0.0.1,DoS Hulk
443,1899030,21,39,10044,15575,31.58,192.168.1.216,10.0.0.2,BENIGN
443,765496,22,37,11014,38559,76.97,192.168.1.191,10.0.0.5,BENIGN
443,529970,19,17,9477,12271,67.8,192.168.1.169,10.0.0.1,BENIGN
80,2871131,23,7,6754,7279,10.45,192.168.1.192,10.0.0.1,BENIGN
8080,1504858,16,17,7690,7587,21.91,192.168.1.102,10.0.0.2,BENIGN
80,470530,988,0,61188,0,2099.31,185.220.138.164,10.0.0.1,DDoS
22,2148231,9,31,2685,13751,18.61,192.168.1.211,10.0.0.1,BENIGN
443,279156,1394,0,63712,0,4991.83,185.220.74.226,10.0.0.1,DDoS
22,2309716,16,23,5336,3841,16.88,192.168.1.68,10.0.0.3,BENIGN
8080,3677338,23,32,3892,25741,14.95,192.168.1.27,10.0.0.2,BENIGN
21,2774715,30,27,5548,4390,21.62,103.203.57.145,10.0.0.4,SSH-Patator
7358,4932,1,0,56,0,397.38,194.26.29.174,10.0.0.2,PortScan
554,4702733,30,13,8642,17994,9.14,192.168.1.137,10.0.0.9,BENIGN
80,793005,22,2,10884,2315,30.23,192.168.1.117,10.0.0.9,BENIGN
21,997218,17,16,3206,2285,34.06,103.203.57.128,10.0.0.4,SSH-Patator
80,2261536,11,22,1064,7800,14.59,192.168.1.151,10.0.0.5,BENIGN
80,6240781,27,38,9065,48291,10.41,192.168.1.54,10.0.0.3,BENIGN
8080,153098,581,0,41557,0,3792.48,185.220.62.224,10.0.0.1,DDoS
22,286997,11,12,3864,4404,79.86,192.168.1.165,10.0.0.6,BENIGN
53,154176,12,16,1984,16329,180.44,192.168.1.226,10.0.0.1,BENIGN
22,543932,31,34,5001,46364,119.28,192.168.1.214,10.0.0.4,BENIGN
59443,1206,1,0,42,0,1530.82,194.26.29.138,10.0.0.2,PortScan
554,471170,15,20,3614,25847,74.13,192.168.1.21,10.0.0.4,BENIGN
443,1809727,6,13,2821,7384,10.49,192.168.1.108,10.0.0.4,BENIGN
22,19874,31,9,11625,1534,1916.25,192.168.1.145,10.0.0.9,BENIGN
554,455838,32,16,3137,8846,105.07,192.168.1.97,10.0.0.4,BENIGN
80,3946966,19,18,8693,3089,9.37,192.168.1.176,10.0.0.3,BENIGN
80,21181024,26,2,1148,51,1.23,45.154.255.197,10.0.0.1,DoS Hulk
62609,4185,2,0,49,0,466.74,194.26.29.110,10.0.0.2,PortScan
8080,325530,34,22,15843,28292,171.5,192.168.1.25,10.0.0.5,BENIGN
443,2131672,27,9,13614,7864,16.88,192.168.1.214,10.0.0.1,BENIGN
554,174358,5,18,717,16401,131.16,192.168.1.199,10.0.0.9,BENIGN
80,2770661,7,25,1186,11472,11.55,192.168.1.215,10.0.0.3,BENIGN
502,13779878,58,26,46653,26871,8.42,198.51.100.177,10.0.0.3,Infiltration
8080,287469,1191,0,49858,0,4141.61,185.220.203.139,10.0.0.1,DDoS
554,1400764,3,24,1420,14664,19.26,192.168.1.230,10.0.0.5,BENIGN
8080,327711,20,35,10145,8507,167.32,192.168.1.68,10.0.0.6,BENIGN
8080,2292529,13,22,5545,5049,15.26,192.168.1.200,10.0.0.3,BENIGN
8080,611068,10,15,2843,17654,40.85,192.168.1.227,10.0.0.5,BENIGN
22,342399,22,31,7760,6186,154.34,192.168.1.126,10.0.0.2,BENIGN
8080,502064,29,26,2682,31520,109.33,192.168.1.214,10.0.0.4,BENIGN
554,1804196,24,37,4300,9181,33.79,192.168.1.122,10.0.0.6,BENIGN
443,3134234,31,18,3211,4756,15.63,192.168.1.119,10.0.0.9,BENIGN
22,1430880,21,38,9562,12616,41.2,192.168.1.174,10.0.0.7,BENIGN
443,103668,2052,0,121936,0,19774.73,185.220.234.196,10.0.0.1,DDoS
80,607437,11,20,4202,27943,50.95,192.168.1.40,10.0.0.5,BENIGN
8080,789306,2,30,731,18113,40.49,192.168.1.103,10.0.0.4,BENIGN
80,937081,33,30,12445,22504,67.16,192.168.1.228,10.0.0.5,BENIGN
554,128017,8,36,1809,22876,341.04,192.168.1.131,10.0.0.1,BENIGN
443,774017,16,14,6251,7306,38.71,192.168.1.117,10.0.0.5,BENIGN
80,581904,23,20,8582,21754,73.77,192.168.1.197,10.0.0.3,BENIGN
554,463971,33,31,11397,6915,137.64,192.168.1.179,10.0.0.2,BENIGN
53,1815204,23,7,9851,3172,16.52,192.168.1.61,10.0.0.4,BENIGN
80,7470173,34,24,13361,7063,7.76,192.168.1.16,10.0.0.2,BENIGN
8080,194528,32,35,4134,33919,342.66,192.168.1.169,10.0.0.3,BENIGN
554,2898228,9,30,3761,34789,13.45,192.168.1.182,10.0.0.6,BENIGN
443,615868,9,38,870,8773,76.19,192.168.1.128,10.0.0.2,BENIGN
8080,59289,8,6,3807,3247,232.21,192.168.1.63,10.0.0.4,BENIGN
8080,4261145,5,34,448,12007,9.15,192.168.1.188,10.0.0.2,BENIGN
22,2702611,6,28,2747,7918,12.58,192.168.1.141,10.0.0.3,BENIGN
554,225218,4,35,295,42535,172.4,192.168.1.54,10.0.0.8,BENIGN
22,419035,13,4,6235,3036,40.47,192.168.1.50,10.0.0.9,BENIGN
22,4109242,2,16,864,20315,4.38,192.168.1.11,10.0.0.9,BENIGN
80,593322,16,28,5747,18951,74.03,192.168.1.149,10.0.0.3,BENIGN
22,459862,21,34,8686,4851,119.34,192.168.1.134,10.0.0.3,BENIGN
80,408381,2213,0,158111,0,5417.62,185.220.23.161,10.0.0.1,DDoS
554,674392,22,10,5075,11460,47.38,192.168.1.118,10.0.0.3,BENIGN
8080,9222354,23,29,1763,19070,5.64,192.168.1.38,10.0.0.7,BENIGN
53,4899252,4,36,1486,35870,8.16,192.168.1.17,10.0.0.3,BENIGN
80,126239,175,0,10426,0,1385.16,185.220.49.203,10.0.0.1,DDoS
443,87564,29,8,2045,2625,417.78,192.168.1.138,10.0.0.9,BENIGN
554,300802,26,10,12975,2244,119.28,192.168.1.69,10.0.0.3,BENIGN
80,21403552,71,1,2459,69,3.32,45.154.255.174,10.0.0.1,DoS Hulk
22,1552552,29,20,14209,11063,31.54,192.168.1.158,10.0.0.2,BENIGN
22511,4625,2,0,40,0,423.24,194.26.29.33,10.0.0.2,PortScan
554,232646,16,23,3359,10673,166.92,192.168.1.160,10.0.0.4,BENIGN
443,3219678,29,29,14341,25932,18.01,192.168.1.116,10.0.0.5,BENIGN
53,831005,7,33,2256,21642,48.08,192.168.1.19,10.0.0.7,BENIGN
80,151544,11,8,5569,5661,124.55,192.168.1.79,10.0.0.5,BENIGN
443,414299,1824,0,92489,0,4401.55,185.220.132.25,10.0.0.1,DDoS
22,331203,5,6,2037,7411,33.11,192.168.1.49,10.0.0.1,BENIGN
53,735349,25,31,5200,20243,76.05,192.168.1.80,10.0.0.9,BENIGN
8080,423519,928,0,51643,0,2190.65,185.220.21.69,10.0.0.1,DDoS
8080,2168807,13,29,6076,32393,19.36,192.168.1.215,10.0.0.5,BENIGN
8080,4137351,6,9,2065,8619,3.62,192.168.1.174,10.0.0.8,BENIGN
53,319090,5,35,581,45607,124.96,192.168.1.44,10.0.0.2,BENIGN
554,420735,22,33,11220,27867,130.41,192.168.1.70,10.0.0.1,BENIGN
554,2453384,24,13,11648,5167,15.08,192.168.1.13,10.0.0.8,BENIGN
502,9293116,33,44,32790,12933,7.1,198.51.100.243,10.0.0.3,Infiltration
80,26823210,24,1,1164,42,0.89,45.154.255.176,10.0.0.1,DoS Hulk
53,689262,17,16,4242,8527,47.81,192.168.1.170,10.0.0.6,BENIGN
80,12228229,33,4,1241,67,2.7,45.154.255.97,10.0.0.1,DoS Hulk
14952,1717,2,0,52,0,1100.19,194.26.29.161,10.0.0.2,PortScan
22,608007,6,2,658,2693,13.14,192.168.1.238,10.0.0.1,BENIGN
8080,38843,2085,0,136883,0,53539.54,185.220.101.116,10.0.0.1,DDoS
80,26544669,67,1,6205,137,2.52,45.154.255.103,10.0.0.1,DoS Hulk
80,247324,32,15,5408,20999,189.27,192.168.1.191,10.0.0.1,BENIGN
554,2748643,34,27,11085,30214,22.18,192.168.1.152,10.0.0.2,BENIGN
22,1808646,2,8,663,2828,5.53,192.168.1.189,10.0.0.9,BENIGN
53,379443,7,26,2386,28830,86.74,192.168.1.196,10.0.0.4,BENIGN
80,321044,2095,0,147812,0,6523.54,185.220.16.105,10.0.0.1,DDoS
80,417959,14,26,1385,31393,95.47,192.168.1.225,10.0.0.2,BENIGN
443,3073636,19,16,4930,11097,11.38,192.168.1.220,10.0.0.2,BENIGN
53,22810,2,34,273,30246,1511.94,192.168.1.102,10.0.0.7,BENIGN
22,1860165,19,37,9357,37905,30.09,192.168.1.97,10.0.0.7,BENIGN
80,52651,2487,0,160154,0,47145.85,185.220.234.117,10.0.0.1,DDoS
443,253799,21,8,4621,5911,113.82,192.168.1.65,10.0.0.2,BENIGN
554,2473070,34,36,7180,21365,28.29,192.168.1.84,10.0.0.5,BENIGN
22,715818,22,16,9721,18960,53.01,192.168.1.173,10.0.0.4,BENIGN
443,311610,2020,0,158365,0,6480.37,185.220.85.162,10.0.0.1,DDoS
80,14391611,71,1,2180,93,4.93,45.154.255.147,10.0.0.1,DoS Hulk
502,8057338,39,34,24830,26427,9.68,198.51.100.171,10.0.0.3,Infiltration
8080,2548713,24,25,9679,31264,19.22,192.168.1.172,10.0.0.8,BENIGN
8080,100756,4,17,960,4104,206.38,192.168.1.238,10.0.0.4,BENIGN
22,320059,27,31,10467,27015,180.65,192.168.1.148,10.0.0.7,BENIGN
80,4082979,16,24,8174,24178,9.79,192.168.1.173,10.0.0.8,BENIGN
80,12770553,64,2,4107,190,5.01,45.154.255.48,10.0.0.1,DoS Hulk
8080,187765,2303,0,127394,0,12258.78,185.220.44.194,10.0.0.1,DDoS
80,6567124,65,3,4620,55,9.9,45.154.255.7,10.0.0.1,DoS Hulk
443,1267794,23,37,5155,8231,47.29,192.168.1.195,10.0.0.2,BENIGN
8080,4400119,28,16,3056,15367,10.0,192.168.1.28,10.0.0.9,BENIGN
8080,1404847,27,35,6715,43465,44.1,192.168.1.60,10.0.0.2,BENIGN
80,1218002,34,11,15077,15275,36.92,192.168.1.221,10.0.0.9,BENIGN
11795,3114,1,0,53,0,622.14,194.26.29.158,10.0.0.2,PortScan
443,448122,14,6,1911,6926,44.53,192.168.1.27,10.0.0.4,BENIGN
80,1927207,14,14,5225,8399,14.52,192.168.1.119,10.0.0.5,BENIGN
8080,841413,6,34,599,37018,47.48,192.168.1.19,10.0.0.4,BENIGN
80,6943476,16,1,832,180,2.3,45.154.255.93,10.0.0.1,DoS Hulk
80,103889,30,17,8351,15809,448.09,192.168.1.143,10.0.0.1,BENIGN
22,2118873,23,19,3025,2564,21.7,103.203.57.54,10.0.0.4,SSH-Patator
8080,81400,1281,0,88130,0,15717.78,185.220.75.220,10.0.0.1,DDoS
443,53970,2,33,201,36128,636.71,192.168.1.141,10.0.0.8,BENIGN
22,1953414,22,4,5160,4173,13.3,192.168.1.16,10.0.0.6,BENIGN
21,1520431,38,37,4713,3956,49.95,103.203.57.232,10.0.0.4,SSH-Patator
22,1602671,10,38,4778,46953,29.93,192.168.1.239,10.0.0.5,BENIGN
554,1041748,16,23,8006,4481,37.4,192.168.1.162,10.0.0.2,BENIGN
8080,312541,6,23,1583,31344,92.49,192.168.1.144,10.0.0.1,BENIGN
80,1409432,10,17,3409,14506,19.14,192.168.1.207,10.0.0.8,BENIGN
554,1359211,24,38,10481,47657,45.58,192.168.1.105,10.0.0.1,BENIGN
8080,4169640,21,23,5835,20505,10.55,192.168.1.146,10.0.0.3,BENIGN
554,93835,6,35,1232,17988,432.33,192.168.1.38,10.0.0.2,BENIGN
53,2749757,11,30,3189,4454,14.9,192.168.1.234,10.0.0.5,BENIGN
8080,4633626,11,23,4882,10696,7.34,192.168.1.59,10.0.0.3,BENIGN
554,3781979,8,7,3132,1513,3.97,192.168.1.44,10.0.0.1,BENIGN
22,2973891,16,15,3147,5159,10.42,192.168.1.138,10.0.0.3,BENIGN
52109,3621,1,0,54,0,537.38,194.26.29.32,10.0.0.2,PortScan
54711,3266,2,0,58,0,594.1,194.26.29.121,10.0.0.2,PortScan
443,14664915,45,44,37232,28011,6.14,198.51.100.56,10.0.0.3,Infiltration
8080,114000,579,0,40834,0,5074.49,185.220.210.27,10.0.0.1,DDoS
12823,4672,1,0,40,0,419.08,194.26.29.33,10.0.0.2,PortScan
21,2430714,32,31,3476,4502,26.32,103.203.57.34,10.0.0.4,SSH-Patator
22,2381300,29,6,10200,7435,14.69,192.168.1.42,10.0.0.3,BENIGN
3837,4221,1,0,43,0,462.81,194.26.29.137,10.0.0.2,PortScan
22,129731,32,25,2304,32613,436.01,192.168.1.129,10.0.0.9,BENIGN
22,2350881,31,29,4918,4090,26.36,103.203.57.190,10.0.0.4,SSH-Patator
53,1043327,29,25,3721,7687,51.71,192.168.1.202,10.0.0.9,BENIGN
80,1680725,4,29,585,3742,19.62,192.168.1.207,10.0.0.2,BENIGN
8080,172176,9,21,1961,14781,173.23,192.168.1.77,10.0.0.9,BENIGN
554,490102,28,17,3323,23335,91.63,192.168.1.69,10.0.0.4,BENIGN
443,3157573,8,27,1691,5479,11.08,192.168.1.99,10.0.0.5,BENIGN
8080,802833,4,23,617,13842,33.59,192.168.1.38,10.0.0.6,BENIGN
80,3284505,26,15,12188,15205,12.48,192.168.1.54,10.0.0.9,BENIGN
53,435649,12,22,1950,6310,77.87,192.168.1.217,10.0.0.2,BENIGN
80,160409,2216,0,115057,0,13806.04,185.220.151.76,10.0.0.1,DDoS
12366,4194,1,0,56,0,465.68,194.26.29.20,10.0.0.2,PortScan
80,1827229,34,25,7721,20995,32.27,192.168.1.190,10.0.0.3,BENIGN
443,427309,6,9,830,5645,35.02,192.168.1.60,10.0.0.2,BENIGN
12420,4660,2,0,51,0,420.12,194.26.29.157,10.0.0.2,PortScan
443,327384,19,3,6028,1725,66.99,192.168.1.90,10.0.0.7,BENIGN
53,175661,14,31,6803,6468,254.72,192.168.1.202,10.0.0.3,BENIGN
27369,3289,2,0,51,0,590.12,194.26.29.126,10.0.0.2,PortScan
53,288217,28,31,11705,8125,204.0,192.168.1.79,10.0.0.5,BENIGN
8080,111743,13,14,3057,12219,239.48,192.168.1.119,10.0.0.5,BENIGN
554,2105990,18,3,6840,835,9.97,192.168.1.12,10.0.0.8,BENIGN
22,140719,14,7,6153,2868,148.18,192.168.1.34,10.0.0.7,BENIGN
554,112865,18,35,7008,32097,465.46,192.168.1.207,10.0.0.5,BENIGN
443,2997760,17,13,2385,12293,10.0,192.168.1.194,10.0.0.9,BENIGN
80,2395617,2,31,431,34793,13.77,192.168.1.164,10.0.0.7,BENIGN
80,7452840,31,3,2320,173,4.16,45.154.255.101,10.0.0.1,DoS Hulk
